Company,TypeName,Ram,Weight,Touchscreen,Ips,ppi,Cpu_name,HDD,SSD,Hybrid,Flash_Storage,Gpu_brand,os,Price
Dell,Notebook,8,1.78,0,0,218.11,AMD Processor,0.0,512.0,0.0,0.0,Intel,Windows,107836.77
HP,Notebook,16,1.86,0,1,286.09,Intel Core i3,0.0,128.0,0.0,0.0,AMD,Others/No OS/Linux,116019.48
Acer,Gaming,16,3.88,0,0,111.94,Other Intel Processor,0.0,128.0,0.0,0.0,Nvidia,Windows,108031.24
Lenovo,2 in 1 Convertible,8,1.3,0,1,259.93,Intel Core i7,0.0,512.0,0.0,0.0,Intel,Windows,142466.75
Asus,Ultrabook,8,0.94,1,1,141.21,AMD Processor,0.0,256.0,0.0,0.0,AMD,Windows,94314.43
Dell,Ultrabook,6,1.03,0,0,183.58,AMD Processor,0.0,256.0,0.0,0.0,AMD,Windows,85308.92
Dell,Ultrabook,4,0.96,0,0,137.68,Other Intel Processor,0.0,512.0,0.0,0.0,Nvidia,Windows,119417.66
Acer,2 in 1 Convertible,4,2.77,0,1,163.18,Other Intel Processor,2000.0,128.0,0.0,0.0,Nvidia,Windows,93888.77
Samsung,Notebook,16,2.14,1,1,157.35,AMD Processor,0.0,128.0,0.0,0.0,Nvidia,Others/No OS/Linux,118634.63
MSI,Gaming,32,2.38,0,0,104.47,AMD Processor,0.0,512.0,0.0,0.0,Intel,Windows,153829.2
Microsoft,Notebook,4,1.5,0,0,141.21,AMD Processor,0.0,512.0,0.0,0.0,Nvidia,Windows,109088.11
MSI,Notebook,8,1.58,0,0,137.68,AMD Processor,0.0,128.0,0.0,0.0,Nvidia,Others/No OS/Linux,87852.95
Dell,Workstation,8,3.7,0,0,122.17,AMD Processor,0.0,256.0,0.0,0.0,Intel,Windows,72650.21
Asus,Notebook,16,2.51,0,0,100.45,AMD Processor,0.0,128.0,0.0,0.0,Intel,Windows,70217.6
HP,Notebook,8,2.76,0,0,125.37,AMD Processor,0.0,256.0,0.0,0.0,AMD,Windows,74139.81
Lenovo,Gaming,8,3.27,1,0,158.48,Other Intel Processor,500.0,0.0,0.0,0.0,Intel,Windows,58936.16
Asus,Notebook,8,2.2,0,0,116.08,AMD Processor,0.0,512.0,0.0,0.0,Intel,Windows,87625.44
Asus,Ultrabook,4,1.2,0,0,156.23,Other Intel Processor,1000.0,0.0,0.0,0.0,Nvidia,Windows,76118.84
MSI,Notebook,8,1.33,0,1,194.95,Other Intel Processor,0.0,512.0,0.0,0.0,Intel,Mac,102483.88
HP,2 in 1 Convertible,8,1.44,0,0,135.09,Intel Core i5,1000.0,0.0,0.0,0.0,Nvidia,Windows,84709.28
Lenovo,Notebook,16,2.01,1,0,194.95,Intel Core i5,1000.0,0.0,0.0,0.0,Intel,Windows,105712.24
Mediacom,Notebook,8,2.58,0,0,117.68,AMD Processor,1000.0,128.0,0.0,0.0,Nvidia,Others/No OS/Linux,87652.72
HP,Notebook,8,2.63,0,0,163.18,AMD Processor,0.0,128.0,0.0,0.0,Nvidia,Windows,92529.24
Lenovo,Workstation,8,4.08,0,0,111.94,AMD Processor,0.0,512.0,0.0,0.0,Nvidia,Windows,108189.06
Lenovo,2 in 1 Convertible,16,1.96,1,0,158.48,AMD Processor,0.0,128.0,0.0,0.0,Intel,Others/No OS/Linux,89575.69
MSI,Gaming,32,4.47,0,0,141.21,AMD Processor,0.0,256.0,0.0,0.0,AMD,Others/No OS/Linux,143509.81
MSI,Gaming,4,2.54,0,0,129.58,Intel Core i5,0.0,0.0,0.0,64.0,Intel,Others/No OS/Linux,47254.63
Huawei,Notebook,8,1.57,0,1,129.58,Other Processor,0.0,128.0,0.0,0.0,Nvidia,Windows,95098.09
Dell,Ultrabook,8,1.23,0,0,137.68,Intel Core i7,0.0,128.0,0.0,0.0,Nvidia,Windows,107528.41
Dell,Ultrabook,4,1.34,1,1,147.36,Intel Core i5,500.0,0.0,0.0,0.0,Nvidia,Mac,89884.73
Asus,Notebook,16,2.41,0,0,138.68,Other Intel Processor,1000.0,256.0,0.0,0.0,Nvidia,Windows,118703.07
Dell,Notebook,8,2.52,0,0,189.91,Intel Core i7,0.0,256.0,0.0,0.0,Intel,Mac,110010.59
Asus,Notebook,4,1.99,0,1,312.47,AMD Processor,1000.0,0.0,0.0,0.0,Nvidia,Windows,96438.91
HP,Netbook,4,1.25,0,0,129.58,AMD Processor,0.0,128.0,0.0,0.0,Intel,Others/No OS/Linux,49251.05
Apple,Notebook,8,2.46,0,0,120.55,Other Processor,0.0,512.0,0.0,0.0,Nvidia,Windows,122078.72
HP,Workstation,8,4.13,0,1,226.98,AMD Processor,0.0,512.0,0.0,0.0,Intel,Windows,101963.38
Lenovo,Gaming,8,3.41,0,1,193.52,Other Intel Processor,0.0,256.0,0.0,0.0,Intel,Windows,85336.72
Lenovo,Notebook,8,1.39,0,1,218.11,Intel Core i5,0.0,256.0,0.0,0.0,AMD,Windows,99464.85
Asus,Notebook,4,1.35,0,0,135.09,Intel Core i7,0.0,256.0,0.0,0.0,Nvidia,Windows,103699.87
HP,Notebook,8,2.28,0,0,135.09,AMD Processor,1000.0,0.0,0.0,0.0,Nvidia,Others/No OS/Linux,81915.11
Asus,Ultrabook,4,1.46,0,0,165.63,Other Processor,0.0,256.0,0.0,0.0,Intel,Windows,72587.93
Dell,2 in 1 Convertible,16,1.83,0,1,163.18,Other Intel Processor,0.0,512.0,0.0,0.0,Nvidia,Windows,148568.44
LG,Gaming,16,4.3,0,0,194.95,Intel Core i5,1000.0,0.0,0.0,0.0,Intel,Windows,90515.76
Dell,Notebook,8,1.65,1,1,158.48,Intel Core i5,1000.0,128.0,0.0,0.0,AMD,Windows,97102.08
Lenovo,Ultrabook,8,1.08,0,0,183.58,AMD Processor,1000.0,0.0,0.0,0.0,Nvidia,Windows,80556.99
HP,Ultrabook,8,1.04,0,1,137.68,AMD Processor,0.0,512.0,0.0,0.0,Nvidia,Others/No OS/Linux,121842.38
